Ticker,Date,Period,Metric,Value,YoY,QoQ,Consensus_Value,Consensus_YoY,Consensus_QoQ
NFLX,12/31/2018,20184,US Subscribers - Total,60.56,0.10603,0.03584,60.28,0.10095,0.03108
NFLX,9/30/2018,20183,US Subscribers - Total,58.46,0.10778,0.01884,58.05,0.10002,0.01170
NFLX,6/30/2018,20182,US Subscribers - Total,57.38,0.10512,0.01189,57.91,0.11534,0.02124
NFLX,3/31/2018,20181,US Subscribers - Total,56.71,0.11505,0.03571,56.21,0.10538,0.02672
NFLX,12/31/2017,20174,US Subscribers - Total,54.75,0.10760,0.03748,54.04,0.09323,0.02402
NFLX,9/30/2017,20173,US Subscribers - Total,52.77,0.11106,0.01639,52.69,0.10934,0.01482
NFLX,6/30/2017,20172,US Subscribers - Total,51.92,0.10168,0.02098,51.50,0.09279,0.01274
NFLX,3/31/2017,20171,US Subscribers - Total,50.85,0.08276,0.02879,51.00,0.08581,0.03169
NFLX,12/31/2016,20164,US Subscribers - Total,49.43,0.10490,0.04072,48.94,0.09401,0.03046
NFLX,9/30/2016,20163,US Subscribers - Total,47.50,0.09995,0.00781,47.40,0.09767,0.00572
NFLX,6/30/2016,20162,US Subscribers - Total,47.13,0.11416,0.00345,47.47,0.12219,0.01068
NFLX,3/31/2016,20161,US Subscribers - Total,46.97,0.13455,0.04982,46.49,0.12301,0.03915
NFLX,12/31/2015,20154,US Subscribers - Total,44.74,0.14378,0.03606,44.84,0.14645,0.03847
NFLX,9/30/2015,20153,US Subscribers - Total,43.18,0.16019,0.02083,43.49,0.16848,0.02813
NFLX,6/30/2015,20152,US Subscribers - Total,42.30,0.16709,0.02181,42.00,0.15892,0.01466
NFLX,3/31/2015,20151,US Subscribers - Total,41.40,0.16042,0.05837,40.90,0.14639,0.04557
NFLX,12/31/2014,20144,US Subscribers - Total,39.11,0.17038,0.05091,39.08,0.16947,0.05010
NFLX,9/30/2014,20143,US Subscribers - Total,37.22,0.19706,0.02690,37.54,0.20736,0.03574
NFLX,6/30/2014,20142,US Subscribers - Total,36.24,0.21596,0.01598,,,
NFLX,3/31/2014,20141,US Subscribers - Total,35.67,0.22280,0.06744,,,
NFLX,12/31/2013,20134,US Subscribers - Total,33.42,0.23112,0.07487,,,
NFLX,9/30/2013,20133,US Subscribers - Total,31.09,0.23868,0.04311,,,
NFLX,6/30/2013,20132,US Subscribers - Total,29.81,0.24518,0.02170,,,
NFLX,3/31/2013,20131,US Subscribers - Total,29.17,0.24622,0.07471,,,
NFLX,12/31/2018,20184,US Subscribers - Total Net Additions,2.10,0.05915,0.93802,1.81,-0.08346,0.67707
NFLX,9/30/2018,20183,US Subscribers - Total Net Additions,1.08,0.27027,0.60386,0.67,-0.21121,-0.00406
NFLX,6/30/2018,20182,US Subscribers - Total Net Additions,0.67,-0.36832,-0.65524,1.20,0.12868,-0.38399
NFLX,3/31/2018,20181,US Subscribers - Total Net Additions,1.96,0.37386,-0.01163,1.46,0.02812,-0.26036
NFLX,12/31/2017,20174,US Subscribers - Total Net Additions,1.98,0.02275,1.32432,1.27,-0.34467,0.48931
NFLX,9/30/2017,20173,US Subscribers - Total Net Additions,0.85,1.31250,-0.20244,0.79,1.14319,-0.26083
NFLX,6/30/2017,20172,US Subscribers - Total Net Additions,1.07,5.58642,-0.25018,0.65,3.00169,-0.54443
NFLX,3/31/2017,20171,US Subscribers - Total Net Additions,1.42,-0.36160,-0.26422,1.57,-0.29730,-0.19011
NFLX,12/31/2016,20164,US Subscribers - Total Net Additions,1.93,0.24213,4.25543,1.45,-0.07078,2.93150
NFLX,9/30/2016,20163,US Subscribers - Total Net Additions,0.37,-0.58229,1.27160,0.27,-0.69390,0.66465
NFLX,6/30/2016,20162,US Subscribers - Total Net Additions,0.16,-0.82060,-0.92732,0.50,-0.44467,-0.77503
NFLX,3/31/2016,20161,US Subscribers - Total Net Additions,2.23,-0.02365,0.43160,1.75,-0.23285,0.12485
NFLX,12/31/2015,20154,US Subscribers - Total Net Additions,1.56,-0.17836,0.76731,1.66,-0.12344,0.88546
NFLX,9/30/2015,20153,US Subscribers - Total Net Additions,0.88,-0.09641,-0.02436,1.19,0.22029,0.31759
NFLX,6/30/2015,20152,US Subscribers - Total Net Additions,0.90,0.58421,-0.60447,0.53,-0.06469,-0.76648
NFLX,3/31/2015,20151,US Subscribers - Total Net Additions,2.28,0.01287,0.20475,1.78,-0.20900,-0.05915
NFLX,12/31/2014,20144,US Subscribers - Total Net Additions,1.90,-0.18600,0.94359,1.86,-0.19903,0.91246
NFLX,9/30/2014,20143,US Subscribers - Total Net Additions,0.98,-0.24125,0.71053,1.30,0.00796,1.27233
NFLX,6/30/2014,20142,US Subscribers - Total Net Additions,0.57,-0.09953,-0.74712,,,
NFLX,3/31/2014,20141,US Subscribers - Total Net Additions,2.25,0.11144,-0.03179,,,
NFLX,12/31/2013,20134,US Subscribers - Total Net Additions,2.33,0.13839,0.81167,,,
NFLX,9/30/2013,20133,US Subscribers - Total Net Additions,1.29,0.10490,1.03002,,,
NFLX,6/30/2013,20132,US Subscribers - Total Net Additions,0.63,0.19886,-0.68787,,,
NFLX,3/31/2013,20131,US Subscribers - Total Net Additions,2.03,0.16552,-0.00831,,,
NFLX,12/31/2018,20184,US Subscribers - Paid,58.49,0.10756,0.02686,58.46,0.10700,0.02634
NFLX,9/30/2018,20183,US Subscribers - Paid,56.96,0.10936,0.01789,56.68,0.10395,0.01293
NFLX,6/30/2018,20182,US Subscribers - Paid,55.96,0.11200,0.01583,56.33,0.11939,0.02258
NFLX,3/31/2018,20181,US Subscribers - Paid,55.09,0.11569,0.04312,54.67,0.10716,0.03515
NFLX,12/31/2017,20174,US Subscribers - Paid,52.81,0.10239,0.02853,52.19,0.08951,0.01651
NFLX,9/30/2017,20173,US Subscribers - Paid,51.35,0.10469,0.02031,51.34,0.10448,0.02011
NFLX,6/30/2017,20172,US Subscribers - Paid,50.32,0.09388,0.01920,50.22,0.09173,0.01720
NFLX,3/31/2017,20171,US Subscribers - Paid,49.38,0.08008,0.03069,49.90,0.09156,0.04164
NFLX,12/31/2016,20164,US Subscribers - Paid,47.91,0.10378,0.03068,47.71,0.09939,0.02659
NFLX,9/30/2016,20163,US Subscribers - Paid,46.48,0.10485,0.01033,46.36,0.10199,0.00771
NFLX,6/30/2016,20162,US Subscribers - Paid,46.00,0.12049,0.00634,46.36,0.12909,0.01407
NFLX,3/31/2016,20161,US Subscribers - Paid,45.71,0.13392,0.05329,45.35,0.12486,0.04488
NFLX,12/31/2015,20154,US Subscribers - Paid,43.40,0.15128,0.03169,43.48,0.15349,0.03367
NFLX,9/30/2015,20153,US Subscribers - Paid,42.07,0.16002,0.02462,42.54,0.17304,0.03612
NFLX,6/30/2015,20152,US Subscribers - Paid,41.06,0.17022,0.01841,40.95,0.16729,0.01586
NFLX,3/31/2015,20151,US Subscribers - Paid,40.32,0.17273,0.06942,39.79,0.15739,0.05543
NFLX,12/31/2014,20144,US Subscribers - Paid,37.70,0.18876,0.03951,37.62,0.18626,0.03733
NFLX,9/30/2014,20143,US Subscribers - Paid,36.27,0.21186,0.03363,36.45,0.21808,0.03894
NFLX,6/30/2014,20142,US Subscribers - Paid,35.09,0.22572,0.02060,,,
NFLX,3/31/2014,20141,US Subscribers - Paid,34.38,0.23158,0.08404,,,
NFLX,12/31/2013,20134,US Subscribers - Paid,31.71,0.24502,0.05972,,,
NFLX,9/30/2013,20133,US Subscribers - Paid,29.93,0.25730,0.04545,,,
NFLX,6/30/2013,20132,US Subscribers - Paid,28.62,0.26175,0.02547,,,
NFLX,3/31/2013,20131,US Subscribers - Paid,27.91,0.26751,0.09587,,,
NFLX,12/31/2018,20184,US Subscribers - Paid Net Additions,1.53,0.04437,0.52847,1.50,0.02513,0.50031
NFLX,9/30/2018,20183,US Subscribers - Paid Net Additions,1.00,-0.02055,0.14794,0.71,-0.30084,-0.18057
NFLX,6/30/2018,20182,US Subscribers - Paid Net Additions,0.87,-0.08017,-0.61704,1.23,0.29356,-0.46144
NFLX,3/31/2018,20181,US Subscribers - Paid Net Additions,2.28,0.54898,0.55427,1.86,0.26262,0.26693
NFLX,12/31/2017,20174,US Subscribers - Paid Net Additions,1.47,0.02735,0.43346,0.85,-0.40540,-0.17036
